Name,Height,Weight,Drink,Age,PLZ,Einkommen,Kaeufer
Unbekannt,165,102,Nein,35,16487,57098,Ja
Unbekannt,198,61,Oft,47,45252,77040,Ja
Unbekannt,191,68,Oft,73,75815,57805,Ja
Unbekannt,168,100,Nein,66,52188,62749,Nein
Unbekannt,188,94,Nein,60,80761,55282,Nein
Unbekannt,179,82,Gelegentlich,33,43389,61841,Ja
Unbekannt,152,106,Nein,68,68510,44468,Nein
Unbekannt,172,79,Oft,61,34385,24842,Ja
Unbekannt,152,93,Nein,54,19296,32904,Ja
Unbekannt,190,110,Gelegentlich,31,50418,109872,Nein
Unbekannt,200,73,Nein,60,58178,34054,Ja
Unbekannt,185,97,Nein,62,27483,48058,Ja
Unbekannt,190,98,Gelegentlich,43,11328,49673,Ja
Unbekannt,181,66,Gelegentlich,48,23649,108916,Nein
Unbekannt,165,88,Nein,53,14903,36029,Ja
Unbekannt,188,59,Gelegentlich,57,54829,37434,Ja
Unbekannt,186,94,Oft,39,47384,62753,Ja
Unbekannt,173,93,Nein,31,45625,43206,Ja
Unbekannt,172,64,Oft,64,32660,75031,Ja
Unbekannt,159,106,Gelegentlich,74,45369,52297,Nein
Unbekannt,178,66,Oft,51,16898,91333,Nein
Unbekannt,161,86,Nein,70,77448,90677,Nein
Unbekannt,188,58,Nein,62,12445,29944,Ja
Unbekannt,187,102,Nein,73,63434,92076,Ja
Unbekannt,186,89,Nein,73,25615,44211,Nein
Unbekannt,188,79,Gelegentlich,69,33182,49786,Nein
Unbekannt,184,92,Oft,75,73650,87141,Nein
Unbekannt,196,77,Nein,40,26427,93949,Ja
Unbekannt,176,112,Gelegentlich,40,70825,39771,Nein
Unbekannt,168,96,Nein,72,75110,67851,Nein
Unbekannt,199,67,Oft,69,30074,69165,Nein
Unbekannt,157,102,Nein,39,72329,36638,Nein
Unbekannt,161,73,Oft,34,30482,97583,Nein
Unbekannt,159,85,Nein,49,75976,43000,Nein
Unbekannt,191,91,Oft,59,12103,85921,Ja
Unbekannt,154,56,Gelegentlich,59,38045,92563,Nein
Unbekannt,176,99,Nein,56,15821,91019,Nein
Unbekannt,181,68,Oft,45,43830,61032,Ja
Unbekannt,169,67,Gelegentlich,51,14162,106336,Nein
Unbekannt,185,101,Nein,42,81749,45064,Nein
Unbekannt,194,71,Oft,70,38473,41539,Nein
Unbekannt,196,103,Oft,36,63907,35788,Ja
Unbekannt,199,112,Nein,39,48419,91084,Nein
Unbekannt,196,78,Nein,28,51768,65292,Ja
Unbekannt,151,106,Gelegentlich,42,62055,29137,Nein
Unbekannt,153,86,Nein,54,49011,38409,Ja
Unbekannt,195,61,Oft,35,49329,82706,Ja
Unbekannt,173,79,Nein,44,65366,80858,Nein
Unbekannt,173,57,Oft,75,66961,94534,Nein
Unbekannt,168,106,Oft,51,15282,99908,Nein
Unbekannt,198,77,Nein,25,31357,101148,Nein
Unbekannt,187,57,Oft,56,16726,34466,Ja
Unbekannt,198,84,Nein,71,30242,65171,Nein
Unbekannt,178,81,Oft,36,13475,84129,Ja
Unbekannt,152,104,Nein,70,33254,84598,Nein
Unbekannt,192,84,Nein,64,79434,91660,Nein
Unbekannt,165,62,Gelegentlich,61,28391,53065,Ja
Unbekannt,194,100,Nein,33,41705,78448,Ja
Unbekannt,194,108,Oft,52,38996,37223,Ja
Unbekannt,179,104,Nein,38,14605,68534,Ja
Unbekannt,174,65,Nein,49,45973,36514,Ja
Unbekannt,194,61,Gelegentlich,51,15471,68945,Ja
Unbekannt,168,91,Oft,46,23177,103846,Nein
Unbekannt,163,61,Oft,50,22517,33245,Ja
Unbekannt,154,58,Gelegentlich,35,36678,56868,Ja
Unbekannt,158,74,Oft,49,79155,87706,Nein
Unbekannt,180,92,Nein,45,16473,37254,Ja
Unbekannt,196,89,Oft,52,70144,96519,Nein
Unbekannt,190,94,Nein,48,39910,41919,Ja
Unbekannt,186,100,Gelegentlich,64,78126,39747,Nein
Unbekannt,172,77,Oft,40,16262,70690,Ja
Unbekannt,199,60,Nein,58,33703,80506,Ja
Unbekannt,189,80,Nein,33,22387,96459,Nein
Unbekannt,169,100,Oft,40,22390,94294,Ja
Unbekannt,179,73,Nein,34,63239,102654,Nein
Unbekannt,162,97,Nein,44,26500,100061,Nein
Unbekannt,164,62,Nein,31,49998,50070,Ja
Unbekannt,188,66,Nein,43,46871,100823,Ja
Unbekannt,167,108,Oft,69,62506,32822,Nein
Unbekannt,172,100,Nein,54,58215,45179,Ja
Unbekannt,188,100,Oft,55,80282,86539,Nein
Unbekannt,169,105,Nein,39,11508,100117,Nein
Unbekannt,173,107,Nein,67,65755,46356,Nein
Unbekannt,153,108,Nein,38,54434,61600,Ja
Unbekannt,187,79,Nein,36,21707,54819,Ja
Unbekannt,182,72,Nein,30,26010,40683,Ja
Unbekannt,157,99,Nein,45,16114,29212,Nein
Unbekannt,162,109,Gelegentlich,39,29268,29444,Ja
Unbekannt,166,72,Gelegentlich,40,66188,107292,Ja
Unbekannt,153,77,Nein,43,74920,72608,Nein
Unbekannt,161,71,Nein,31,61095,90560,Nein
Unbekannt,154,83,Nein,66,34665,86621,Nein
Unbekannt,151,110,Gelegentlich,64,42166,68231,Ja
Unbekannt,183,62,Nein,48,51669,51507,Ja
Unbekannt,191,86,Oft,36,23366,71333,Ja
Unbekannt,171,73,Oft,75,39863,62163,Nein
Unbekannt,164,64,Nein,34,18566,76532,Ja
Unbekannt,165,80,Oft,44,65565,28396,Ja
Unbekannt,187,74,Gelegentlich,59,33309,92770,Nein
Unbekannt,161,87,Nein,37,60486,75429,Ja
Unbekannt,180,66,Nein,72,50039,33274,Nein
Unbekannt,163,68,Nein,61,67803,54525,Ja
Unbekannt,198,88,Nein,41,17409,47865,Ja
Unbekannt,179,107,Nein,49,24289,40012,Ja
Unbekannt,195,95,Gelegentlich,49,80760,70550,Nein
Unbekannt,201,106,Nein,43,79281,26085,Nein
Unbekannt,198,98,Oft,63,80475,65400,Ja
Unbekannt,175,81,Oft,31,59226,80251,Ja
Unbekannt,157,63,Gelegentlich,49,36899,79721,Ja
Unbekannt,154,109,Gelegentlich,46,48887,72166,Ja
Unbekannt,170,89,Nein,50,40501,49659,Ja
Unbekannt,179,75,Nein,39,65516,66717,Ja
Unbekannt,197,72,Oft,69,28222,105012,Ja
Unbekannt,198,84,Gelegentlich,27,30242,63452,Ja
Unbekannt,192,103,Nein,72,37068,35863,Ja
Unbekannt,160,109,Nein,38,29805,108069,Ja
Unbekannt,171,104,Gelegentlich,26,82863,109091,Nein
Unbekannt,197,86,Nein,57,32801,29746,Ja
Unbekannt,178,85,Oft,48,64771,84239,Ja
Unbekannt,174,85,Nein,61,24009,65424,Ja
Unbekannt,165,91,Nein,26,27739,79494,Ja
Unbekannt,182,72,Oft,74,47201,81250,Ja
Unbekannt,160,85,Nein,55,81699,23205,Nein
Unbekannt,197,74,Gelegentlich,69,63344,87006,Nein
Unbekannt,187,71,Oft,29,40141,40229,Ja
Unbekannt,193,77,Nein,50,52404,76178,Ja
Unbekannt,176,111,Nein,31,65024,50298,Ja
Unbekannt,199,98,Nein,39,18642,33817,Ja
Unbekannt,193,81,Nein,29,45017,108890,Nein
Unbekannt,157,103,Gelegentlich,25,30154,27423,Ja
Unbekannt,198,84,Nein,40,25126,95237,Nein
Unbekannt,185,87,Nein,42,70280,86420,Nein
Unbekannt,166,98,Nein,61,39416,98419,Nein
Unbekannt,194,71,Nein,59,32581,60021,Nein
Unbekannt,198,78,Nein,72,49074,39755,Nein
Unbekannt,185,98,Oft,36,50747,64727,Ja
Unbekannt,179,84,Nein,39,33420,54021,Ja
Unbekannt,158,93,Oft,44,18348,93328,Nein
Unbekannt,200,107,Nein,56,35834,44641,Ja
Unbekannt,192,75,Oft,46,40821,71585,Ja
Unbekannt,197,73,Gelegentlich,34,48642,85997,Ja
Unbekannt,185,91,Nein,47,52704,35949,Ja
Unbekannt,166,66,Oft,74,76148,89807,Nein
Unbekannt,188,68,Gelegentlich,35,48869,57209,Ja
Unbekannt,165,101,Nein,58,20027,104573,Ja
Unbekannt,182,62,Oft,48,78350,81017,Nein
Unbekannt,166,94,Gelegentlich,54,29091,89589,Ja
Unbekannt,177,67,Oft,72,36528,96572,Nein
Unbekannt,188,77,Gelegentlich,64,54034,51109,Ja
Unbekannt,188,86,Nein,51,62714,93064,Nein
Unbekannt,171,70,Nein,31,43261,26476,Ja
Unbekannt,159,96,Nein,67,68100,23718,Nein
Unbekannt,152,74,Gelegentlich,65,77671,50301,Nein
Unbekannt,156,58,Gelegentlich,33,39193,53702,Ja
Unbekannt,198,101,Gelegentlich,27,30844,46538,Ja
Unbekannt,182,59,Nein,71,35330,51146,Nein
Unbekannt,183,73,Nein,56,19681,101290,Nein
Unbekannt,151,73,Nein,33,79021,41030,Nein
Unbekannt,162,86,Nein,49,16774,44133,Nein
Unbekannt,155,63,Nein,57,36311,33637,Ja
Unbekannt,159,101,Nein,26,41763,100911,Nein
Unbekannt,156,84,Gelegentlich,70,81547,37757,Nein
